method,metric,K=S,mean,std
Uniform-Alg1,delta1,1000,3.047518,0.404196
Uniform-Alg1,delta1,5000,3.449467,3.071297
Uniform-Alg1,delta1,20000,1.918542,1.063060
Uniform-Alg1,delta2,1000,1.424454,0.211872
Uniform-Alg1,delta2,5000,1.767537,1.239567
Uniform-Alg1,delta2,20000,0.995603,0.491586
Uniform-Alg1,kl,1000,-10.138588,0.398764
Uniform-Alg1,kl,5000,-12.022364,0.600508
Uniform-Alg1,kl,20000,-13.167107,0.263671
Uniform-Alg1,npll,1000,12.524564,0.805779
Uniform-Alg1,npll,5000,11.177682,1.948742
Uniform-Alg1,npll,20000,11.562962,1.288321
MF-Alg1,delta1,1000,5.229250,0.966664
MF-Alg1,delta1,5000,4.416522,0.879278
MF-Alg1,delta1,20000,4.772581,0.415252
MF-Alg1,delta2,1000,1.236549,0.073744
MF-Alg1,delta2,5000,0.992084,0.124518
MF-Alg1,delta2,20000,1.036190,0.356419
MF-Alg1,kl,1000,-13.400370,0.652208
MF-Alg1,kl,5000,-14.609951,0.550697
MF-Alg1,kl,20000,-14.249142,2.262734
MF-Alg1,npll,1000,10.854767,0.705495
MF-Alg1,npll,5000,10.680747,0.158257
MF-Alg1,npll,20000,11.278925,1.341979
BP-Alg1,delta1,1000,3.148180,1.816261
BP-Alg1,delta1,5000,2.799804,2.089365
BP-Alg1,delta1,20000,1.620999,0.455691
BP-Alg1,delta2,1000,1.309448,0.536289
BP-Alg1,delta2,5000,1.417187,0.738877
BP-Alg1,delta2,20000,0.734475,0.306113
BP-Alg1,kl,1000,-10.973068,0.973441
BP-Alg1,kl,5000,-12.284833,0.316478
BP-Alg1,kl,20000,-13.522876,0.379242
BP-Alg1,npll,1000,12.430888,1.394636
BP-Alg1,npll,5000,11.339823,0.613204
BP-Alg1,npll,20000,11.486986,0.263384
LBP-Alg1,delta1,1000,0.465842,0.162979
LBP-Alg1,delta1,5000,0.315584,0.085936
LBP-Alg1,delta1,20000,0.123396,0.031783
LBP-Alg1,delta2,1000,0.243771,0.005014
LBP-Alg1,delta2,5000,0.120698,0.011424
LBP-Alg1,delta2,20000,0.054075,0.003780
LBP-Alg1,kl,1000,-13.868210,0.112419
LBP-Alg1,kl,5000,-15.424438,0.057403
LBP-Alg1,kl,20000,-16.705185,0.028138
LBP-Alg1,npll,1000,11.143349,0.229232
LBP-Alg1,npll,5000,11.102582,0.073522
LBP-Alg1,npll,20000,11.106449,0.036010
Exact-DF,delta1,1000,0.234242,0.074723
Exact-DF,delta1,5000,0.234242,0.074723
Exact-DF,delta1,20000,0.234242,0.074723
Exact-DF,delta2,1000,0.077054,0.007519
Exact-DF,delta2,5000,0.077054,0.007519
Exact-DF,delta2,20000,0.077054,0.007519
Exact-DF,kl,1000,-16.086692,0.027372
Exact-DF,kl,5000,-16.086692,0.027372
Exact-DF,kl,20000,-16.086692,0.027372
Exact-DF,npll,1000,11.101852,0.051301
Exact-DF,npll,5000,11.101852,0.051301
Exact-DF,npll,20000,11.101852,0.051301
MCMC,delta1,1000,0.177748,0.028055
MCMC,delta1,5000,0.177748,0.028055
MCMC,delta1,20000,0.177748,0.028055
MCMC,delta2,1000,0.066044,0.002549
MCMC,delta2,5000,0.066044,0.002549
MCMC,delta2,20000,0.066044,0.002549
MCMC,kl,1000,-16.116409,0.003473
MCMC,kl,5000,-16.116409,0.003473
MCMC,kl,20000,-16.116409,0.003473
MCMC,npll,1000,11.056893,0.008139
MCMC,npll,5000,11.056893,0.008139
MCMC,npll,20000,11.056893,0.008139
